species,origin,year collected,Planting-date,container,amount planted,10.10.2021_count,10.10.2021_comment,12.10.2021_count,12.20.2021_comment,14.10.2021_count,14.10.2021_comment,16.10.2021_count,16.10.2021_comment,18.10.2021_count,18.10.2021_comment,20.10.2021_count,20.10.2021_comment,22.10.2021_count,22.10.2021_comment,24.10.2021_count,24.20.2021_comment,26.10.2021_count,26.10.2021_comment,28.10.2021_count,28.10.2021_comment,30.10.2021_count,30.10.2021_comment,03.11.2021_count,03.11.2021_comment,10.11.2021_count,10.11.2021_comment,18.11.2021_count
Felseck flower mix,personal,2021,10/8/2021,Concrete-container,½ conatainer,0,nothing yet,0,,2,,8,,17,,17,,18,,18,,18,,19,,22,,24,,24,,24
Felseck grass max,personal,2021,10/10/2021,Concrete-container,½ conatainer,0,nothing yet,0,,2,,10,,13,,16,,17,,24,,31,,32,,37,,40,,50,,50
valeriana officinalis,volo,2020,10/10/2021,Plastic-tray,7 cells,-,-,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
sanguisorba officinalis,volo,2019,10/13/2021,Plastic-tray,7 cells,-,-,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1
silene flos-cuculi,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,1,1 sprout in 1 cell,5,,5,,7,4 cells filled up; 3 with stragglers,7,,7,,7,,7,,7,,7
silene nutans,volo,2019,10/13/2021,Plastic-tray,7 cells,-,-,,-,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
papaver somniferum,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,1,1 sprout in 1 cell,0,,0,,0,,0,,0,,0,,0,,0,,0
verbascum nigrum,volo,2019,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,7,all cells full,7,,7,,7,,7,,7,,7,,7,,7,,7
verbascum lychnitis,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,7,all cells full,7,,7,,7,,7,,7,,7,,7,,7,,7
saponaria ocymoides,volo,2015,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,0,,1,,1,,1,,1,,2,,1,,2,,3,,3
echincacea purpurea,volo,2015,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,0,,0,,0,,1,breaking out of seed; confirmed,6,,7,each cell multiple sprouts,7,,7,,7,,7
potentilla recta,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,6,medium filled cells,7,ship,7,,7,,7,,7,,7,,7,,7,,7
origanum vulgare,volo,2019,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,7,medium filled cells,7,ship,7,,7,,7,,7,,7,,7,,7,,7
scabiosa columbaria,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,0,,2,,3,,3,all have multiple seedlings,3,,4,,4,3 cells multiple sprouts,5,,5,,6
centaurea jacea,personal,2021,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,5,,5,,6,,7,,7,all have multiple seedlings,7,,7,,7,,7,6,7,,7
primula veris,volo,2020,10/13/2021,Plastic-tray,7 cells,-,-,-,-,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1
cirsium vulgare,personal,2021,10/14/2021,Plastic-tray,7 cells,-,-,-,-,0,-,0,,0,,4,,3,,3,,4,,3,,3,,2,,2,,2
carduus personata,personal,2021,10/14/2021,Plastic-tray,7 cells,-,-,-,-,0,,1,,2,1 sprout each cell,3,,4,,4,only 1 with multiple seedlings,3,,5,multiple seedlings per cell,6,,6,5 have multiple seedlings,6,,6
