 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
302200,Phyteuma scorzonerifolium Vill.,Schwarzwurzelblaettrige Rapunzel,Raiponce a feuilles de scorsonere,Raponzolo a foglie di scorzonera,4,VU,1,1,1,1,0,0,0
303600,Pilularia globulifera L.,Pillenfarn,Pilulaire a globules,Pilularia comune,2,CR,1,2,2,2,1,C,A
304390,Pinguicula grandiflora Lam.,Grossbluetiges Fettblatt,Grassette a grandes fleurs,Erba-unta con grandi fiori,2,EN,2,2,2,2,1,A,0
306850,Pisum sativum subsp. biflorum (Raf.) Soldano,Wilde Erbse,Pois eleve,Pisello selvatico,4,VU,1,1,1,1,0,0,0
307100,Plantago arenaria Waldst. & Kit.,Sand-Wegerich,Plantain des sables,Piantaggine ramosa,3,EN,1,2,0,2,1,D,A
308200,Plantago sempervirens Crantz,Halbstrauchiger Wegerich,Plantain toujours vert,Piantaggine legnosa,2,RE,1,99,0,0,0,0,C
308900,Pleurospermum austriacum (L.) Hoffm.,Rippensame,Pleurosperme d'Autriche,Cicutina austriaca,4,VU,1,1,1,1,0,0,A
309300,Poa badensis Willd.,Badener Rispengras,Paturin de Baden,Fienarola di Baden,4,VU,1,1,0,1,0,A,0
310000,Poa glauca Vahl,Blaugruenes Rispengras,Paturin bleuatre,Fienarola glauca,4,LC,3,0,0,1,0,A,C
311000,Poa remota Forselles,Entferntaehriges Rispengras,Paturin a epillets espaces,Fienarola maggiore,4,VU,1,2,1,2,1,0,A
312100,Polycnemum arvense L.,Acker-Knorpelkraut,Polycneme des champs,Canforata selvatica,2,CR,1,2,1,2,1,B,D
312200,Polycnemum majus A. Braun,Grosses Knorpelkraut,Grand polycneme,Canforata maggiore,3,EN,1,2,1,2,1,A,A
312600,Polygala calcarea F. W. Schultz,Kalk-Kreuzblume,Polygale des sols calcaires,Poligala del calcare,3,EN,1,2,2,2,1,A,0
313000,Polygala pedemontana E. P. Perrier & B. Verl.,Suedalpen-Kreuzblume,Polygale du Piemont,Poligala piemontese,4,NT,2,1,0,1,0,0,0
315100,Polygonum lapathifolium subsp. brittingeri (Opiz) Jav.,Brittingers Knoeterich,Renouee de Brittinger,Poligono di Brittinger,2,RE,1,99,0,0,0,D,C
316000,Polypodium cambricum L.,Suedlicher Tuepfelfarn,Polypode du Pays de Galles,Polipodio del Galles,4,VU,1,1,0,1,0,0,0
316600,Polystichum braunii (Spenn.) Fee,Alex. Brauns Schildfarn,Polystic de Braun,Felce di Braun,4,NT,2,0,0,1,0,0,0
320500,Potamogeton ×angustifolius Bercht. & J. Presl,Schmalblaettriges Laichkraut,Potamot a feuilles etroites,Brasca a foglie strette,4,VU,1,1,1,1,0,A,A
320550,Potamogeton ×decipiens Nolte,Weidenblaettriges Laichkraut,Potamot a feuilles de saule,Brasca salicina,4,VU,1,1,1,1,0,A,A
320600,Potamogeton ×nitens Weber,Schimmerndes Laichkraut,Potamot brillant,Brasca splendente,4,VU,1,1,1,1,0,A,A
318000,Potamogeton acutifolius Link,Spitzblaettriges Laichkraut,Potamot a feuilles aiguees,Brasca acutifoglia,2,CR,1,2,2,2,1,A,A
318300,Potamogeton coloratus Hornem.,Gefaerbtes Laichkraut,Potamot colore,Lingua d'acqua arrossata,3,EN,1,2,2,2,1,D,A
318400,Potamogeton compressus L.,Plattstengliges Laichkraut,Potamot aplati,Brasca a caule compresso,2,CR(PE),1,99,0,0,0,C,C
318700,Potamogeton filiformis Pers.,Fadenfoermiges Laichkraut,Potamot filiforme,Brasca filiforme,4,VU,1,1,1,1,0,A,A
318800,Potamogeton friesii Rupr.,Fries' Laichkraut,Potamot de Fries,Brasca di Fries,3,EN,1,2,2,2,1,B,A
318900,Potamogeton gramineus L.,Grasblaettriges Laichkraut,Potamot graminee,Brasca ingrossata,4,VU,1,1,1,1,0,A,A
