date,place,feature,number,species,quantity,confidence,no_flowers,notes,Full-place-name
04.04.21,Madretschstrasse,box,6,Stellaria media,scattered,1,,,Madretschstrasse-box-6
04.04.21,Madretschstrasse,box,6,Senecio vulgaris,1 patch,2,,,Madretschstrasse-box-6
04.04.21,Madretschstrasse,box,7,Mahonia aquifolium,Signficant % of cover,2,,,Madretschstrasse-box-7
04.04.21,Madretschstrasse,box,7,Veronica hederifolia,several patches,1,,,Madretschstrasse-box-7
04.04.21,Madretschstrasse,box,7,taraxacum,scattered,1,,,Madretschstrasse-box-7
04.04.21,Madretschstrasse,box,7,spiraea trilobata,1,1,,,Madretschstrasse-box-7
04.04.21,Madretschstrasse,box,8,Mahonia aquifolium,Signficant % of cover,2,,,Madretschstrasse-box-8
04.04.21,Madretschstrasse,box,8,Viburnum farreri,1,2,,,Madretschstrasse-box-8
04.04.21,Madretschstrasse,box,8,taraxacum,scattered,1,,,Madretschstrasse-box-8
04.04.21,Madretschstrasse,box,8,Prunus cerasifera,1,0,,,Madretschstrasse-box-8
04.04.21,Lindenweg,area,1,taraxacum,Signficant % of cover,1,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,Muscari neglectum,scattered,1,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,Senecio vulgaris,Signficant % of cover,2,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,viola hirta,1 patch,1,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,Medicago lupulina,1  patch,1,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,Tussilago farfara,scattered,2,,,Lindenweg-area-1
04.04.21,Lindenweg,area,1,Veronica persica,scattered,1,,,Lindenweg-area-1
04.04.21,Rebenweg,area,1,Ranunculus ficaria,Signficant % of cover,2,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,taraxacum,Signficant % of cover,1,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,Primula acaulis,scattered,2,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,Viola odorata,scattered,1,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,Veronica persica,scattered,1,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,Narcissus pseuonarcissus,1 patch,2,,,Rebenweg-area-1
04.04.21,Rebenweg,area,1,Forsythia x intermedia,Signficant % of cover,2,,,Rebenweg-area-1
06.04.21,Zentralstrasse,Madretschkanal,1,Syringa vulgaris,1  patch,2,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Senecio vulgaris,scattered,2,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Leucojum aestivum,1  patch,1,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Veronica hederifolia,scattered,1,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Cardamine flexuosa,Signficant % of cover,1,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Myosotis arvensis,1  patch,1,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,lamium purpureum,1  patch,1,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Ranunculus auricomus,1 patch,2,,,Zentralstrasse-Madretschkanal-1
06.04.21,Zentralstrasse,Madretschkanal,1,Salix,Signficant % of cover,0,,,Zentralstrasse-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Bellis perennis,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,taraxacum,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Viola odorata,scattered,1,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Corydalus cava,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Ranunculus ficaria,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Cardamine flexuosa,scattered,1,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Ranunculus acris,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Veronica persica,scattered,1,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Primula acaulis,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,1,Glechoma hederacea,scattered,2,,,Bahnweg-Madretschkanal-1
06.04.21,Bahnweg,Madretschkanal,2,taraxacum,Signficant % of cover,1,,,Bahnweg-Madretschkanal-2
06.04.21,Bahnweg,Madretschkanal,2,Corydalus cava,Signficant % of cover,2,,,Bahnweg-Madretschkanal-2
