date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date
2020-09-03,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')"
2020-09-03,chelidonium-majus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')"
2020-09-03,cornus-sanguinea,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Cornaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')"
2020-09-03,verbena-officinalis,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Verbenaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')"
2020-08-04,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
2020-08-04,bryonia-dioica,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Cucurbitaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
2020-08-04,sorbus-aucuparia,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
2020-08-04,sambucus-nigra,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Adoxaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
2020-08-04,echium-vulgare,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Boraginaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
2020-08-04,silene-pratensis,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')"
