Taxon ID InfoSpecies,groupe d'organisme,org. abrév., ID taxon,nom du taxon,Synonymes utiles,nom allemand,nom français,nom italien,priorité,menace,responsabilité,nécessité de prendre des mesures,nécessité de surveiller les populations,connaissances suffisantes?,techniques connues?,BE,JU
infoflora:41700,Gefässpflanzen,TRAC,41700,Arabis scabra All.,,Rauhe Gänsekresse,Arabette scabre,Arabetta scabra,3,EN,1,2,1,1,0,0,0
infoflora:41800,Gefässpflanzen,TRAC,41800,Arabis serpillifolia Vill.,,Quendelblättrige Gänsekresse,Arabette à feuilles de serpolet,Arabetta strisciante,4,NT,2,0,0,1,0,A,0
infoflora:43560,Gefässpflanzen,TRAC,43560,Arenaria ciliata subsp. bernensis Favarger,,Berner Sandkraut,Sabline bernoise,Arenaria bernese,2,NT,4,0,2,1,0,A,0
infoflora:43800,Gefässpflanzen,TRAC,43800,Arenaria gothica Fr.,,Gothisches Sandkraut,Sabline de Suède,Arenaria gotica,1,CR,3,2,2,2,1,0,0
infoflora:43900,Gefässpflanzen,TRAC,43900,Arenaria grandiflora L.,,Grossblütiges Sandkraut,Sabline à grandes fleurs,Arenaria grandiflora,4,VU,1,1,2,1,0,A,0
infoflora:44100,Gefässpflanzen,TRAC,44100,Arenaria marschlinsii W. D. J. Koch,,Salis-Marschlins' Sandkraut,Sabline de Salis-Marschlins,Arenaria di Salis-Marschlins,4,NT,2,0,0,1,0,B,0
infoflora:44600,Gefässpflanzen,TRAC,44600,Aristolochia clematitis L.,,Gewöhnliche Osterluzei,Aristoloche clématite,Aristolochia clematite,3,EN,1,1,0,1,0,A,D
infoflora:44800,Gefässpflanzen,TRAC,44800,Aristolochia rotunda L.,,Rundblättrige Osterluzei,Aristoloche arrondie,Aristolochia rotonda,3,EN,1,2,2,2,1,0,0
infoflora:45100,Gefässpflanzen,TRAC,45100,Armeria alpina var. purpurea (W. D. J. Koch) E. Baumann,,Purpur-Grasnelke,Arméria purpurin,Spillone palustre,1,RE,3,2,2,2,1,0,0
infoflora:45200,Gefässpflanzen,TRAC,45200,Armeria arenaria (Pers.) Schult.,,Wegerichartige Grasnelke,Arméria des sables,Spillone lanceolato,3,EN,1,2,2,2,1,0,0
infoflora:45800,Gefässpflanzen,TRAC,45800,Arnoseris minima (L.) Schweigg. & Körte,,Lämmerlattich,Arnoséris minime,Radicchio dei montoni,2,RE,1,99,0,0,0,D,0
infoflora:46500,Gefässpflanzen,TRAC,46500,Artemisia borealis Pall.,,Nordischer Beifuss,Armoise septentrionale,Assenzio nano,3,VU,2,1,0,1,0,0,0
infoflora:47200,Gefässpflanzen,TRAC,47200,Artemisia glacialis L.,,Gletscher-Edelraute,Armoise des glaciers,Assenzio genepí nero,3,NT,3,0,0,1,0,0,0
infoflora:47500,Gefässpflanzen,TRAC,47500,Artemisia nivalis Braun-Blanq.,,Schnee-Edelraute,Armoise des neiges,Assenzio nivale,1,EN,4,2,1,1,0,0,0
infoflora:47800,Gefässpflanzen,TRAC,47800,Artemisia vallesiaca All.,,Walliser Wermut,Armoise du Valais,Assenzio del Vallese,3,NT,3,0,0,1,0,0,0
infoflora:49000,Gefässpflanzen,TRAC,49000,Asparagus tenuifolius Lam.,,Zartblättriger Spargel,Asperge à feuilles étroites,Asparago selvatico,4,VU,1,1,1,1,0,0,0
infoflora:49300,Gefässpflanzen,TRAC,49300,Asperula arvensis L.,,Acker-Waldmeister,Aspérule des champs,Stellina dei campi,2,CR,1,2,0,2,1,B,D
infoflora:49700,Gefässpflanzen,TRAC,49700,Asperula tinctoria L.,,Färber-Waldmeister,Aspérule des teinturiers,Stellina tintoria,3,EN,1,2,1,2,1,0,0
infoflora:49800,Gefässpflanzen,TRAC,49800,Asphodelus albus Mill.,,Affodill,Asphodèle blanc,Asfodelo montano,4,VU,1,2,2,2,1,0,0
infoflora:50100,Gefässpflanzen,TRAC,50100,Asplenium billotii F. W. Schultz,,Billots Streifenfarn,Asplénium de Billot,Asplenio lanceolato,1,CR,2,2,1,2,1,0,0
infoflora:50300,Gefässpflanzen,TRAC,50300,Asplenium cuneifolium Viv.,,Keilblättriger Streifenfarn,Asplénium à feuilles en coin,Asplenio del serpentino,4,VU,1,1,0,1,0,0,0
infoflora:50600,Gefässpflanzen,TRAC,50600,Asplenium foreziense Magnier,,Foreser-Streifenfarn,Asplénium du Forez,Asplenio foresiaco,2,EN,2,2,1,2,1,0,0
infoflora:50800,Gefässpflanzen,TRAC,50800,Asplenium onopteris L.,,Spitzer Streifenfarn,Asplénium onoptéris,Asplenio maggiore,4,VU,1,1,1,1,0,0,0
infoflora:53800,Gefässpflanzen,TRAC,53800,Astragalus exscapus L.,,Stengelloser Tragant,Astragale sans tige,Astragalo nano,4,NT,2,1,0,1,0,0,0
infoflora:54200,Gefässpflanzen,TRAC,54200,Astragalus leontinus Wulfen,,Tiroler Tragant,Astragale de Lienz,Astragalo di Lienz,4,LC,3,0,0,1,0,0,0
infoflora:57800,Gefässpflanzen,TRAC,57800,Baldellia ranunculoides (L.) Parl.,,Igelschlauch,Baldéllie commune,Mestolaccia ranuncoloide,1,CR,2,2,2,2,1,A,0
infoflora:58000,Gefässpflanzen,TRAC,58000,Ballota nigra L. subsp. nigra,,Schwarzer Gottvergess,Ballote noire,Marrubio selvatico,4,VU,1,1,0,1,0,0,0
infoflora:58400,Gefässpflanzen,TRAC,58400,Barbarea stricta Andrz.,,Steife Winterkresse,Barbarée raide,Erba di Santa Barbara stretta,4,VU,1,1,1,1,0,0,0
infoflora:60200,Gefässpflanzen,TRAC,60200,Betula humilis Schrank,,Niedrige Birke,Bouleau peu élevé,Betulla umile,1,CR,2,2,2,2,1,0,0
infoflora:60300,Gefässpflanzen,TRAC,60300,Betula nana L.,,Zwerg-Birke,Bouleau nain,Betulla nana,3,VU,2,1,1,1,0,A,A
infoflora:60800,Gefässpflanzen,TRAC,60800,Bidens cernua L.,,Nickender Zweizahn,Bident penché,Forbicina intera,4,VU,1,1,1,1,0,A,A
infoflora:61200,Gefässpflanzen,TRAC,61200,Bidens radiata Thuill.,,Strahlender Zweizahn,Bident rayonnant,Forbicina raggiante,2,CR,1,2,1,2,1,A,A
infoflora:61800,Gefässpflanzen,TRAC,61800,Biscutella cichoriifolia Loisel.,,Wegwartenblättriges Brillenschötchen,Lunetière à feuilles de chicorée,Biscutella maggiore,2,EN,2,2,1,2,1,0,0
infoflora:62300,Gefässpflanzen,TRAC,62300,Blackstonia acuminata (W. D. J. Koch & Ziz) Domin,,Spätblühender Bitterling,Blackstonie acuminée,Centauro acuminato,2,EN,2,2,2,2,1,D,0
infoflora:62400,Gefässpflanzen,TRAC,62400,Blackstonia perfoliata (L.) Huds.,,Gewöhnlicher Bitterling,Blackstonie perfoliée,Centauro giallo,4,VU,1,1,1,1,0,D,A
infoflora:62900,Gefässpflanzen,TRAC,62900,Bolboschoenus maritimus aggr.,,Strandried,Bolboschoenus maritime,Lisca marittima,2,CR,1,2,1,2,1,A,C
infoflora:63200,Gefässpflanzen,TRAC,63200,Botrychium lanceolatum (S. G. Gmel.) Ångstr.,,Lanzettliche Mondraute,Botryche lancéolé,Botrichio lanceolato,1,CR,2,2,2,2,1,0,0
infoflora:63400,Gefässpflanzen,TRAC,63400,Botrychium matricariifolium (Döll) W. D. J. Koch,,Ästige Mondraute,Botryche à feuilles de matricaire,Botrichio ramoso,1,CR,2,2,2,1,0,B,0
infoflora:63500,Gefässpflanzen,TRAC,63500,Botrychium multifidum (S. G. Gmel.) Rupr.,,Vielspaltige Mondraute,Botryche multifide,Botrichio multifido,1,CR,2,2,2,1,0,0,0
infoflora:63600,Gefässpflanzen,TRAC,63600,Botrychium simplex E. Hitchc.,,Einfache Mondraute,Botryche simple,Botrichio minore,1,CR,2,2,2,1,0,C,0
infoflora:63700,Gefässpflanzen,TRAC,63700,Botrychium virginianum (L.) Sw.,,Virginische Mondraute,Botryche de Virginie,Botrichio virginiano,1,CR,2,2,2,2,1,B,0
