Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,descript_1,type,htmlpopup,layerId,xcoord,ycoord
Erlacherweg-park-3,"survey is the shrubby area
11-04-2021
29-03-2021",,,,,-1,0,-1,,,,marker,,,2586087.43510569,1219676.01416799
Erlacherweg-park-4,"grassy, mowed area, includes areas under the trees
11-04-2021
29-03-2021",,,,,-1,0,-1,,,,marker,,,2586102.4996104,1219693.54442705
Schwanengasse-area-4,"09-04, 10-03
",,,,,-1,0,-1,,,,marker,,,2585934.7322688,1220775.78634209
Schwanengasse-Madretchkanal-1,"survey area bounded by bridge, sidewalk and river, extending about 45 meters from bridge.
10-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585932.97531493,1220875.98170366
holunderweg-madretschkanal-5,"survey area is the last bit of fence bounded by the fence on two sides, madretschkanal and extending about 20 meters out.
12-05-2021
16-04-2021
20-03-2021",,,,,-1,0,-1,,,,marker,,,2586006.90758333,1220981.4007231
Bahnweg-Area-2,"survey area is right side of path from the last building until the end of the road.
10-04-2021",,,,,-1,0,-1,,,,marker,,,2585940.43488296,1220398.11046716
Bahnweg-Madretschkanal-6,"Forest area after end of Bahnweg, bounded by Madretschkanal 5, the fence, and the Madretschkanal.
08-03-2021
06-04-2021
22-05-2021",,,,,-1,0,-1,,,,marker,,,2585918.78858399,1220419.72992711
Alleestrasse-Madretschkanal-4,"10.04.2021, survey area is little forest patch between roads and madretschkanal
",,,,,-1,0,-1,,,,marker,,,2585928.53799697,1220531.66018647
Alleestrasse-Madretschkanal-1,"survey area from bridge to bend in river, including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585905.16483879,1220560.62137606
Schwanengasse-Area-3,"survey area is hill and flat area extending about half meter out
09-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585919.39869522,1220708.00588569
Schwanengasse-area-1,"survea area is difficult to describe
09-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585917.62103196,1220726.08721668
Schwanengasse-area-2,"survey area is difficult to describe
09-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585943.65303153,1220730.85032754
"Madretschstrasse
Box 1","survey area is planted area (separate from tree line)
04-04-2021",,,,,-1,0,-1,,,,marker,,,2585997.7287682,1220340.27469014
"Madretschstrasse
Box 2","survey area is 1st planted area by bus stop
04-04-2021",,,,,-1,0,-1,,,,marker,,,2586007.19210678,1220331.80299054
Madretschstrasse-Box-6,"Survey area is planted area around tree.
04-04-2021",,,,,-1,0,-1,,,,marker,,,2585930.76507225,1220223.9219331
"Madretschstrasse
Box 3","survey area is 2nd planted area by bus stop
04-04-2021",,,,,-1,0,-1,,,,marker,,,2586018.0791283,1220347.89765864
Madretschstrasse-Box-5,"Survey area is planted area around tree.
04-04-2021",,,,,-1,0,-1,,,,marker,"<div><div><span>Zeichnung &nbsp;</span>(04-04
Madretschstrasse
Box 5)</div><div></div></div>",KML||https://public.geo.admin.ch/56a59BHVTviHH1bu7uHxFg,2585938.59031035,1220228.46151571
"Madretschstrasse
Box 4","Survey area is planted area around tree.
04-04-2021",,,,,-1,0,-1,,,,marker,,,2585944.67189474,1220233.56112565
"Madretschstrasse
Box 7","survey area is the 1st planted area by the bus stop.
05-04-2021",,,,,-1,0,-1,,,,marker,,,2586014.04998891,1220312.33112046
Bahnweg-Area-1,"Surveyed the right side of the sidewalk, bounded by the fence, the road, the parking lot on three sides. Survey length about 30 meters.
10-04-2021",,,,,-1,0,-1,,,,marker,,,2585983.89021937,1220359.31840992
Alleestrasse-Madretschkanal-2,"survey area from bend in river to concrete, between river and sidewalk.
04-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585890.16338816,1220600.6802173
Alleestrasse-Madretschkanal-3,"survey area between river, bridge and road.
04-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585886.67285624,1220632.15113954
"Silbergasse
Area 1","survey area is the less-mowed hills left in the mowed grass area.
12-04-2021",,,,,-1,0,-1,,,,marker,,,2585793.4838882,1220651.71862736
Salomegasse-Madretschkanal-1,,,,,,-1,0,-1,,,,marker,,,2585882.3767834,1220707.53822133
Salomegasse-Madretschkanal-2,,,,,,-1,0,-1,,,,marker,,,2585889.27831781,1220738.53966359
Schwanengasse-Madretschkanal-2,"survey area from first tree to third tree
10-04-2021
07-05-2021",,,,,-1,0,-1,,,,marker,,,2585900.97687747,1220745.18229521
Freiburgstrasse-Box-2,04-04-2021,,,,,-1,0,-1,,,,marker,,,2585680.5684592,1220231.19254313
Schneidergaessli-Area-1,"05-04-21, 27-06-21
",,,,,-1,0,-1,,,,marker,,,2585641.7502379,1220242.07058488
Bahnweg-madretschkanal-1,"survey area is wild grass area enclosed by the path, the mowed grass boundary.
08-03-2021
06-04-2021
22-05-2021
01-02-2021",,,,,-1,0,-1,,,,,,,2585843.29719666,1220354.31667092
Freiburgstrasse-Box-1,04-04-2021,,,,,-1,0,-1,,,,marker,,,2585710.29053715,1220255.02336725
Bahnweg-Madretschkanal-2,"survey area was entire forest area between river - path, path - fence
06-04-2021
08-03-2021
22-05-2021
01-02-2021",,,,,-1,0,-1,,,,,,,2585837.77411723,1220360.66687246
Bahnweg-Madretschkanal-4,"entire forest area between path and 5 meters after the bulge on this side of the river.
08-03-2021
06-04-2021
22-05-2021
01-02-2021
",,,,,-1,0,-1,,,,marker,,,2585859.22924616,1220386.07468706
Bahnweg-Madretschkanal-5,"forest area between end of Madretschkanal 4 and start of planted area at the end of Bahnweg.
08-03-2021
06-04-2021
22-05-2021
01-02-2021
",,,,,-1,0,-1,,,,,,,2585884.59632228,1220397.68752141
Bahnweg-Madretschkanal-3,"survey area is wild grass area enclosed by the path.
08-03-2021
06-04-2021
22-05-2021
01-02-2021
",,,,,-1,0,-1,,,,marker,,,2585875.45819363,1220383.36772402
Zukunftstrasse-Box-5,,,,,,-1,0,-1,,,,marker,,,2585632.74797118,1220159.0445769
