,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
92,2020-09-03,buren 1,senecio-inaequidens,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel
93,2020-09-03,buren 1,hypericum-perforatum,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel
94,2020-09-03,buren 1,epilobium-dodonaei,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,NT,NT,NT,Onagraceae,X,X,X,X,X,X,X,cdf,biel
95,2020-09-03,buren 1,daucus-carota,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel
96,2020-09-03,buren 1,erigeron-annuus,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
97,2020-09-03,buren 1,leucanthemum-vulgare,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
98,2020-09-03,buren 1,centaurea-jacea,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
99,2020-09-03,buren 1,echium-vulgare,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Boraginaceae,X,X,X,X,X,X,X,X,biel
100,2020-09-03,buren 1,galium-mollugo,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel
101,2020-09-03,buren 1,taraxacum-officinale,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
102,2020-09-03,buren 1,ranunculus-acris,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
103,2020-09-03,buren 1,clematis-vitalba,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,X,biel
104,2020-09-03,buren 1,dianthus-armeria,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,X
105,2020-09-03,buren 1,senecio-inaequidens,1,"('buren 1', '2020-09-03')",b,buren 1,buren-1,burenstrasse-suze-3,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel
106,2020-09-03,buren 2,centranthus-ruber,1,"('buren 2', '2020-09-03')",c,buren 2,buren-2,buerenstrasse-suze-5,X,X,X,X,X,X,X,X,X,X,ni,X,biel
107,2020-09-03,buren 2,cichorium-intybus,1,"('buren 2', '2020-09-03')",c,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
108,2020-09-03,buren 2,chelidonium-majus,1,"('buren 2', '2020-09-03')",c,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel
109,2020-09-03,buren 2,cornus-sanguinea,1,"('buren 2', '2020-09-03')",c,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Cornaceae,X,X,X,X,X,X,X,cdf,biel
110,2020-09-03,buren 2,verbena-officinalis,1,"('buren 2', '2020-09-03')",c,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Verbenaceae,X,X,X,X,X,X,X,cdf,biel
111,2020-08-04,buren 2,potentilla-reptans,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel
112,2020-08-04,buren 2,bryonia-dioica,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Cucurbitaceae,X,X,X,X,X,X,X,X,biel
