date,place,species,year,loc_date
2020-09-11,cff path 1,scandosorbus-intermedia,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,calystegia-sepium,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,epilobium-hirsutum,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,solidago-canadensis,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,solanum-nigrum,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,malva-neglecta,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,urtica-dioica,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,chenopodium-album,1,"('cff path 1', '2020-09-11')"
2020-09-11,cff path 1,erodium-cicutarium,1,"('cff path 1', '2020-09-11')"
2020-07-28,cff path 2,malva-neglecta,1,"('cff path 2', '2020-07-28')"
2020-07-28,cff path 2,alcea-rosea,1,"('cff path 2', '2020-07-28')"
2020-07-31,cff path 2,arctium-minus,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,carduus-crispus,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,carduus-crispus,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,convolvulus-arvensis,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,oxalis-dillenii,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,sambucus-nigra,1,"('cff path 2', '2020-07-31')"
2020-07-31,cff path 2,crataegus-monogyna,1,"('cff path 2', '2020-07-31')"
2020-08-07,cff path 3,epilobium-hirsutum,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,erigeron-annuus,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,geranium-pyrenaicum,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,medicago-lupulina,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,robinia-pseudoacacia,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,solanum-nigrum,1,"('cff path 3', '2020-08-07')"
2020-08-07,cff path 3,urtica-dioica,1,"('cff path 3', '2020-08-07')"
2020-09-02,chapelle,erigeron-annuus,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,centaurea-scabiosa,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,campanula-rotundifolia,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,daucus-carota,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,vicia-cracca,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,mentha-spicata,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,lycopus-europaeus,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,verbascum-thapsus,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,leucanthemum-vulgare,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,geranium-pyrenaicum,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,solidago-canadensis,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,melilotus-albus,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,erigeron-annuus,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,conzya-canadensis,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,medicago-sativa,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,leucanthemum-vulgare,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,trifolium-repens,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,trifolium-pratense,1,"('chapelle', '2020-09-02')"
2020-09-02,chapelle,lotus-corniculatus,1,"('chapelle', '2020-09-02')"
2020-08-30,chemin de la course,trifolium-repens,1,"('chemin de la course', '2020-08-30')"
2020-08-30,chemin de la course,centaurea-jacea,1,"('chemin de la course', '2020-08-30')"
